userId,movieId,rating,timestamp
1,2,3.5,1112486027
1,24,3.5,1112484676
1,32,3.5,1112484819
1,47,3.5,1112484727
1,50,3.5,1112484580
1,112,3.5,1094785740
1,151,4.0,1094785734
1,223,4.0,1112485573
1,253,4.0,1112484940
1,260,4.0,1112484826
1,316,4.0,1112484703
1,296,4.0,1112484767
1,318,4.0,1112484798
1,337,3.5,1094785709
1,367,3.5,1112485980
1,541,4.0,1112484603
1,589,3.5,1112485557
1,593,3.5,1112484661
1,653,3.0,1094785691
1,919,3.5,1094785621
1,924,3.5,1094785598
2,3,4.0,974820889
2,62,5.0,974820598
2,70,5.0,974820691
2,110,4.0,974820658
2,242,3.0,974820776
2,260,5.0,974821014
2,316,3.0,974820598
2,480,5.0,974820720
2,541,5.0,974821014
2,589,5.0,974820658
2,891,2.0,974820969
2,908,4.0,974820691
2,924,5.0,974821014
3,1,4.0,944919407
3,24,3.0,945176048
3,32,4.0,944918047
3,50,5.0,944918018
3,160,3.0,945176048
3,173,2.0,945176099
3,175,5.0,944919133
3,196,3.0,945175939
3,223,5.0,944918444
3,260,5.0,944917742
3,316,5.0,945175870
3,318,5.0,944917766
3,329,5.0,945176021
3,337,3.0,944919366
3,440,3.0,944918500
3,442,3.0,945176005
3,457,5.0,944918215
3,480,5.0,945175820
3,490,5.0,944919041
3,512,2.0,945176005
3,541,5.0,944918047
3,589,4.0,944897108
3,593,5.0,944918215
3,610,4.0,944919671
3,718,3.0,944917267
3,780,3.0,945175820
3,788,4.0,945175750
3,858,5.0,944917267
3,904,5.0,944917450
3,905,3.0,944917494
3,919,4.0,944917558
3,924,5.0,944917812
3,953,5.0,944917912
3,968,3.0,945175658
